Contact ID (anonymised donor),Categories the donor contributed to,Total donation amount,No. of donations made
347,"Caregivers,Children,COVID-19,Elderly,Families,Family,Food,Foreign Domestic Workers,Help Save Singaporeâ€™s Hardest Hit Families,Individual,Living Expenses,Medical,Migrant Workers,New Start,Raya For Hope,Single Parents,Special Needs,Student,Thematic Campaign,Tuition Fees,Women",998909.1,210
354,"Children,Elderly,Medical,Single Parents",440,4
360,",Children,COVID-19,Elderly,Families,Family,Food,Fundraising,GIC,Help Save Singaporeâ€™s Hardest Hit Families,Medical,New Start,Persons with disabilities,Private Campaign,Raya For Hope,Single Parents,Thematic Campaign",156000.5,204
361,"Children of drug offenders,Migrant Workers",21.6,2
367,Private Campaign,1080,1
368,"Children,COVID-19,Elderly,Family,Hongbao for Hope,Hope Beyond Borders,Medical,Migrant Workers,Single Parents,Special Needs,Student,Thematic Campaign,Transport",16290.95,104
369,"Children,Elderly,Family,Hope Beyond Borders,Individual,Lights for Hope,Medical,Migrant Workers,Raya For Hope,Single Parents,Thematic Campaign",22594,77
370,"Children,Family,Foreign Domestic Workers,Hongbao for Hope,Lights for Hope,Medical,Migrant Workers,Thematic Campaign",8772.8,16
374,"Accident,ADHD,Caregivers,Charities,Children,Children of drug offenders,COVID-19,Education,Elderly,Families,Family,Food,Foreign Domestic Workers,Frontliners,Fundraising,GIC,Giving Circle,Hawkers,Healthcare Workers,Help Save Singaporeâ€™s Hardest Hit Families,Homeless,Hongbao for Hope,Individual,Lights for Hope,Living Expenses,Medical,Mental Health,Migrant Workers,New Start,Private Campaign,Ray of Hope,Ray of Hope 10th Anniversary,Raya For Hope,Registered society,Single Parents,Special Needs,Student,Thematic Campaign,TMT,Tuition Fees,Women,Youths",153785457,14784
376,"Children,Education,Family,Foreign Domestic Workers,Hongbao for Hope,Medical,Migrant Workers,Single Parents,Student,Thematic Campaign",6060,160
380,"Children,Elderly,Family,Food,Medical,Single Parents,Special Needs",385,7
382,"Children,Elderly,Family,Homeless,Individual,Raya For Hope,Single Parents,Thematic Campaign",878.4,8
390,"Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Fundraising,Giving Week,Homeless,Hongbao for Hope,Individual,Lights for Hope,Living Expenses,Medical,Migrant Workers,New Start,Single Parents,Special Needs,Student,Thematic Campaign,Tuition Fees,Women",20272.56,198
391,"Children,Medical,Migrant Workers",150,3
394,"Children,Family,Foreign Domestic Workers,Fundraising,Medical,Migrant Workers,Single Parents,Special Needs",400,8
395,"Caregivers,Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Fundraising,Giving Week,Help Save Singaporeâ€™s Hardest Hit Families,Individual,Medical,Migrant Workers,Single Parents,Special Needs,Student,Transport,Tuition Fees,Women",2926,19
397,"Accident,Children,COVID-19,Elderly,Family,Food,Fundraising,Giving Circle,Help Save Singaporeâ€™s Hardest Hit Families,Homeless,Hongbao for Hope,Individual,Living Expenses,Migrant Workers,New Start,Single Parents,Special Needs,Thematic Campaign",6636.6,54
405,"Accident,Amputees,Caregivers,Children,Children of drug offenders,COVID-19,Education,Elderly,Families,Family,Food,Foreign Domestic Workers,Fundraising,GIC,Homeless,Hongbao for Hope,Individual,Medical,Mental Health,Migrant Workers,Single Parents,Special Needs,Student,Thematic Campaign,Transport,Tuition Fees,Women,Youths",89490.52,812
406,"Children,Family,Medical,Migrant Workers,Single Parents,Special Needs",526.8,6
413,"COVID-19,Migrant Workers",109.6,2
416,"Children,Elderly,Family,Food,Migrant Workers,New Start,Raya For Hope,Single Parents,Thematic Campaign",5652.45,54
421,"Children,Children of drug offenders,Family",329.4,3
426,"Accident,Children,Family,Hongbao for Hope,Medical,Migrant Workers,Single Parents,Thematic Campaign",1240,16
432,"Children,Family,Hongbao for Hope,Single Parents,Thematic Campaign,Women",168,6
434,"Accident,Children,Medical",330,3
436,"Accident,Children,Family",150,3
438,"Children,Family,Single Parents",306.6,3
443,"Children,Family,Medical,Migrant Workers,Single Parents",256.25,5
450,"Accident,Children,Family,Medical",864,4
454,"Children,COVID-19,Elderly,Family,Living Expenses,Medical,Migrant Workers",385,7
475,"Children,Elderly,Medical,Single Parents",44,4
476,"Accident,Children,Elderly,Family,Food,Giving Circle,Medical,Migrant Workers,Private Campaign",965.7,18
489,"Children,Family,Medical,Single Parents",800,4
494,"Elderly,Family,Individual,Living Expenses",800,4
495,"Children,Elderly,Family,Food,Fundraising,Living Expenses,Medical,Single Parents",2160,16
502,"Elderly,Hope Beyond Borders,Medical,Private Campaign,Thematic Campaign",275,5
503,"Children,COVID-19,Family,Fundraising,Medical,Private Campaign,Ray of Hope 10th Anniversary,Single Parents",616,8
505,"Children,COVID-19,Elderly,Family,Food,Fundraising,Giving Circle,Medical,Migrant Workers,Single Parents,Special Needs",227.48,11
516,"Children,Medical,Single Parents,Special Needs",220,4
520,"Children,COVID-19,Family,Foreign Domestic Workers,Fundraising,GIC,Living Expenses,Private Campaign,Single Parents,Special Needs",54000,10
536,"Hongbao for Hope,Medical,Thematic Campaign",264,3
544,"Charities,Children,Family,Medical,Special Needs",6000,20
545,"Children,Elderly,Family,Food,Medical,Single Parents,Special Needs",154,7
548,"Elderly,Food,Fundraising,Hongbao for Hope,Hope Beyond Borders,Medical,Migrant Workers,Thematic Campaign",4704,32
549,Migrant Workers,54.8,2
554,"Family,Foreign Domestic Workers,Fundraising,Migrant Workers,Ray of Hope 10th Anniversary,Women",22954.8,24
557,"Children,Elderly,Family,Migrant Workers,New Start,Single Parents",2565.9,36
562,"Accident,Amputees,Charities,Children,COVID-19,Elderly,Families,Family,Food,Foreign Domestic Workers,Fundraising,GIC,Giving Circle,Homeless,Individual,Medical,Mental Health,Migrant Workers,New Start,Raya For Hope,Single Parents,Special Needs,Student,Thematic Campaign,Tuition Fees,Youths",105554.8,494
564,"Children,Family,Single Parents,Tuition Fees",220,4
566,"Children,Medical,Single Parents,Thematic Campaign",1084,8
567,"Children,Elderly,Food,Medical,Single Parents",500,5
570,"Children,Medical,Single Parents",33,3
575,"Children,Medical,Single Parents",165,3
579,"Accident,Elderly,Medical,Private Campaign",864,4
581,"Children,Medical,Single Parents",330,3
582,"Family,Migrant Workers,Private Campaign,Special Needs",4320,4
586,"Children,COVID-19,Elderly,Family,Hope Beyond Borders,Migrant Workers,New Start,Thematic Campaign",438.4,8
591,"Children,COVID-19,Family,Foreign Domestic Workers,Fundraising,Medical,Migrant Workers,Single Parents",1632.8,8
595,"Children,Family,Food,Fundraising,Living Expenses,Private Campaign,Ray of Hope 10th Anniversary",700,7
596,"Children,Family,Fundraising,Homeless,Medical,Migrant Workers,New Start,Ray of Hope 10th Anniversary,Single Parents,Special Needs",847,10
601,"Accident,Children,Fundraising,Individual,Medical,Student",1318.8,12
616,"Children,Elderly,Medical,Migrant Workers,Single Parents",165,5
623,"Accident,ADHD,Amputees,Caregivers,Charities,Children,COVID-19,Education,Elderly,Families,Family,Food,Foreign Domestic Workers,Fundraising,GIC,Giving Circle,Help Save Singaporeâ€™s Hardest Hit Families,Homeless,Hongbao for Hope,Hope Beyond Borders,Individual,Lights for Hope,Living Expenses,Medical,Mental Health,Migrant Workers,New Start,Persons with aphasia,Persons with disabilities,Ray of Hope 10th Anniversary,Raya For Hope,Registered society,Single Parents,Special Needs,Student,Thematic Campaign,Transport,Tuition Fees,Women,Youths",162312,4920
628,"Children,Family,Hongbao for Hope,Individual,Lights for Hope,Single Parents,Thematic Campaign",385,7
656,"Children,COVID-19,Elderly,Family,Foreign Domestic Workers,Living Expenses,Medical,Migrant Workers,Single Parents,Special Needs,Tuition Fees",162847.3,550
662,"COVID-19,Elderly,Food,Fundraising,Migrant Workers,Private Campaign",328.8,6
665,"Accident,Caregivers,Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Fundraising,Giving Circle,Individual,Medical,Migrant Workers,New Start,Single Parents,Special Needs,Tuition Fees,Women",40456.8,324
666,"Accident,Amputees,Children,COVID-19,Elderly,Family,Foreign Domestic Workers,Fundraising,Giving Week,Individual,Medical,Migrant Workers,New Start,Single Parents,Test Email Tag",29312.7,195
667,"Children,COVID-19,Elderly,Family,Individual,Medical,Migrant Workers,Single Parents,Special Needs,Student",1200,20
671,"Accident,Children,COVID-19,Elderly,Food,Fundraising,Medical,Migrant Workers",80,8
675,"Individual,Migrant Workers,Single Parents,Student",8509.6,40
679,"Caregivers,Children,COVID-19,Elderly,Families,Family,Food,Foreign Domestic Workers,Giving Circle,Hongbao for Hope,Individual,Living Expenses,Medical,Migrant Workers,New Start,Single Parents,Special Needs,Student,Thematic Campaign,Tuition Fees,Women",426823.95,6405
681,"Children,COVID-19,Elderly,Family,Foreign Domestic Workers,Fundraising,Help Save Singaporeâ€™s Hardest Hit Families,Living Expenses,Medical,Migrant Workers,Single Parents,Special Needs,Women",10517.65,195
682,"Children,COVID-19,Elderly,Family,Food,Giving Circle,Individual,Living Expenses,Medical,Migrant Workers,Raya For Hope,Single Parents,Special Needs,Student,Thematic Campaign,Tuition Fees",149361.6,640
686,"Children,COVID-19,Elderly,Family,Food,Fundraising,Migrant Workers,Single Parents",560,16
692,"COVID-19,Elderly,Fundraising,Hongbao for Hope,Thematic Campaign",98,5
693,"Children,Medical,Zhiwen Birthday",330,3
695,"Caregivers,Charities,Children,COVID-19,Elderly,Families,Family,Food,Foreign Domestic Workers,Fundraising,GIC,Help Save Singaporeâ€™s Hardest Hit Families,Homeless,Individual,Medical,Migrant Workers,New Start,Persons with disabilities,Single Parents,Special Needs,Student,Tuition Fees,Women",177189.7,368
696,"Children,COVID-19,Medical,Migrant Workers",220,4
700,"Children,COVID-19,Elderly,Family,Food,Fundraising,Medical,Migrant Workers,Single Parents,Women",570,40
701,"Individual,New Start,Student",165,3
707,"Children,Raya For Hope,Single Parents,Thematic Campaign",220,4
708,"Children,COVID-19,Elderly,Family,Food,Fundraising,Medical,Migrant Workers,Single Parents,Special Needs",599,30
709,"Children,Medical,Migrant Workers",99,6
715,"Children,Family,Hongbao for Hope,Thematic Campaign",255.2,4
720,"Children,Elderly,Family,Foreign Domestic Workers,Giving Circle,Homeless,Medical,Single Parents",1728,8
722,"COVID-19,Migrant Workers",204.4,2
729,"Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Giving Week,Hongbao for Hope,Individual,Medical,Migrant Workers,New Start,Single Parents,Student,Thematic Campaign,Women",340.64,32
735,"Children,COVID-19,Elderly,Family,Fundraising,Living Expenses,Migrant Workers",7135.1,7
740,"Fundraising,Migrant Workers",2000,2
746,"Elderly,Family,Migrant Workers,Single Parents,Women",274,5
747,"Children,COVID-19,Medical,Migrant Workers",126,4
749,"Children,Elderly,Family,Medical,Migrant Workers,Single Parents",64.8,6
752,"Children,Elderly,Family,Giving Week,Lights for Hope,Medical,Migrant Workers,Private Campaign,Single Parents,Student,Thematic Campaign,Tuition Fees,Women",5977.4,65
753,"Children,Elderly,Family,Foreign Domestic Workers,Fundraising,Medical,Migrant Workers,Single Parents",602.24,32
758,"Accident,Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Fundraising,Giving Circle,Hongbao for Hope,Medical,Migrant Workers,Private Campaign,Special Needs,Thematic Campaign",9792,345
761,"Children,COVID-19,Elderly,Family,Food,Fundraising,Individual,Migrant Workers,Single Parents,Thematic Campaign,Women",10216.8,143
762,"Children,Family,Migrant Workers",306,3
763,"Children,COVID-19,Family,Food,Migrant Workers,Single Parents",300,12
765,"Children,Family,Individual,Migrant Workers,Single Parents,Special Needs,Student,Women",1200,8
767,"Migrant Workers,Women",43.6,2
772,"Children,Family,Fundraising,Special Needs",800,4
774,"Children,COVID-19,Elderly,Family,Food,Fundraising,Individual,Lights for Hope,Medical,Migrant Workers,Single Parents,Special Needs,Student,Thematic Campaign",12512.5,364
785,"Children,Elderly,Family,Hongbao for Hope,Medical,Migrant Workers,Single Parents,Thematic Campaign",1664,16
796,"Children,Family,Fundraising,Medical,Private Campaign",275,5
797,"Children,COVID-19,Elderly,Family,Food,Giving Circle,Homeless,Living Expenses,Medical,Migrant Workers,New Start,Single Parents,Special Needs,Women",46608.8,168
800,"Children,Elderly,Family,Food,Fundraising,Medical,Single Parents",385,7
803,"Children,Elderly,Family,Medical,Single Parents",1080,5
812,"Children,COVID-19,Medical,Migrant Workers",4000,4
813,"Children,Family,Single Parents,Special Needs",408.8,4
815,"Children,COVID-19,Family,Food,Foreign Domestic Workers,Fundraising,Medical,Migrant Workers,Single Parents,Special Needs,Student,Tuition Fees,Women",5302.7,13
820,"Children,Family,Individual,Medical,Migrant Workers,Private Campaign,Single Parents,Special Needs,Student,Tuition Fees,Women",1870,44
825,"COVID-19,Fundraising,Migrant Workers",612.3,3
849,"Children,Elderly,Family,Medical,Migrant Workers,Single Parents,Special Needs",144.76,7
871,"Giving Week,Hongbao for Hope,Thematic Campaign",164.4,3
872,"Children,COVID-19,Elderly,Family,Food,Giving Circle,Giving Week,Medical,Migrant Workers,Single Parents,Special Needs,Thematic Campaign",1790.76,168
878,"COVID-19,Fundraising,Hope Beyond Borders,Migrant Workers,Thematic Campaign",1010,15
881,"COVID-19,Fundraising,Migrant Workers",162,3
885,"Children,Fundraising,Women",150,3
887,"Children,COVID-19,Elderly,Family,Food,Fundraising,GIC,Living Expenses,Migrant Workers",19440,18
888,"COVID-19,Lights for Hope,Migrant Workers,Thematic Campaign",400,4
892,"Children,Fundraising,Medical,Migrant Workers,Private Campaign",750,5
901,"Accident,Children,COVID-19,Elderly,Family,Food,Fundraising,Migrant Workers",288,8
902,"Children,COVID-19,Family,Fundraising,Migrant Workers,Raya For Hope",124.08,6
914,"Children,Family,Fundraising,Medical",2000,4
925,"Children,COVID-19,Elderly,Family,Fundraising,Hope Beyond Borders,Migrant Workers,Thematic Campaign",440,8
931,"Children,COVID-19,Medical,Migrant Workers",400,4
940,"Children,COVID-19,Fundraising,Migrant Workers,Private Campaign",525,5
944,"Children,Fundraising,Women",153.75,3
948,"Children,Fundraising,Private Campaign",329.4,3
954,"Children,Family,Giving Week,Medical,Single Parents",275,5
961,"Children,Elderly,Family,Medical,Migrant Workers",1325,20
962,"Children,Family,Medical,Single Parents,Special Needs",806.25,10
965,"Children,Food,Fundraising,Giving Week,Hongbao for Hope,Lights for Hope,Living Expenses,Medical,Migrant Workers,Private Campaign,Single Parents,Thematic Campaign",367.2,12
966,"Giving Week,Medical,Thematic Campaign",65.4,3
969,"Accident,Children,COVID-19,Elderly,Family,Hope Beyond Borders,Medical,Migrant Workers,Single Parents,Special Needs,Thematic Campaign",6050,77
971,"COVID-19,Fundraising,Migrant Workers",92.61,3
975,"Accident,Children,Giving Week,Medical,Migrant Workers,Single Parents",1320,24
980,"Accident,Children,Elderly,Family,Food,Fundraising,Medical,Migrant Workers,Thematic Campaign",1263.6,54
988,"Children,COVID-19,Fundraising,Lights for Hope,Medical,New Start,Private Campaign,Thematic Campaign",2608,16
989,"Children,COVID-19,Elderly,Families,Family,Food,Fundraising,GIC,Individual,New Start,Persons with disabilities,Special Needs",792,36
990,"Children,COVID-19,Elderly,Family,Fundraising,Giving Week,Individual,Lights for Hope,Medical,Single Parents,Thematic Campaign",5940,11
997,"Children,Family,Food,Foreign Domestic Workers,Giving Week,Hongbao for Hope,Hope Beyond Borders,Medical,Raya For Hope,Thematic Campaign",43200,30
1010,"Children,COVID-19,Elderly,Family,Fundraising,Living Expenses,Medical,Migrant Workers,Special Needs",9360,18
1015,"Children,COVID-19,Elderly,Family,Foreign Domestic Workers,Fundraising,Medical",3780,7
1018,"Children,Elderly,Family,Food,Foreign Domestic Workers,Hongbao for Hope,Medical,Thematic Campaign",1758.4,16
1029,"Children,Elderly,Family,Food,Homeless,Individual,Medical,Migrant Workers,New Start,Single Parents,Student",3432,22
1049,"Accident,Children,Family,Individual,Medical,Special Needs,Student,Tuition Fees",840,8
1058,"Children,COVID-19,Elderly,Family,Food,Fundraising,Hongbao for Hope,Living Expenses,Medical,Migrant Workers,Single Parents,Special Needs,Student,Thematic Campaign,Transport,Tuition Fees",1509.92,128
1061,"Hongbao for Hope,Individual,Student,Thematic Campaign",255.2,4
1070,"Children,COVID-19,Elderly,Family,Food,Fundraising,Individual,Medical,Migrant Workers,New Start,Single Parents,Special Needs,Student",70200,26
1073,"Children,Elderly,Family,Medical,Migrant Workers",1050,5
1074,"Education,Family",100,2
1084,"Children,Elderly,Food,Fundraising,Medical,Migrant Workers",660,6
1088,"Children,COVID-19,Fundraising,Medical,Migrant Workers",1630,10
1091,"Children,Fundraising,Private Campaign,Women",408.8,4
1093,"Accident,Children,Elderly,Family,Food,Fundraising,Hongbao for Hope,Medical,Migrant Workers,Thematic Campaign",1118,20
1105,"Children,COVID-19,Medical,Migrant Workers",44,4
1118,"Accident,Children,COVID-19,Elderly,Fundraising,Medical,Migrant Workers",4669,21
1122,"Elderly,Food,Individual,Migrant Workers,Private Campaign,Student",130.8,6
1127,"Children,Elderly,Family,Individual,Medical,Student",180,12
1129,"Children,Elderly,Family,Single Parents,Special Needs",3910,20
1136,"Migrant Workers,Private Campaign",219.6,2
1146,"Children,COVID-19,Medical,Migrant Workers",608,4
1148,"COVID-19,Migrant Workers,Raya For Hope,Thematic Campaign",220,4
1152,"Children,Medical,Migrant Workers,Thematic Campaign",175.2,8
1160,Migrant Workers,55,1
1163,Migrant Workers,54.8,1
1166,"COVID-19,Fundraising,Migrant Workers",153.75,3
1167,"Children,Elderly,Family,Food,Migrant Workers",110,5
1171,"Accident,Migrant Workers",219.6,2
1172,"COVID-19,Migrant Workers",219.6,2
1173,"Children,Family,Individual,Medical,Single Parents,Student",420,12
1180,"Children,Elderly,Medical,Migrant Workers,Single Parents",1299,20
1187,"Children,Family,Foreign Domestic Workers,Medical,Migrant Workers,New Start",1224.6,6
1194,"Children,Individual,Medical,Student",424,8
1195,"Children,COVID-19,Fundraising,Migrant Workers,Single Parents",1020.5,5
1196,"Children,COVID-19,Medical,Migrant Workers",120,4
1199,"COVID-19,Family,Hongbao for Hope,Hope Beyond Borders,Individual,Lights for Hope,Migrant Workers,Single Parents,Thematic Campaign",1859.4,27
1200,"Individual,Private Campaign,Student",150,3
1201,"COVID-19,Fundraising,Migrant Workers",1529.4,3
1209,"Children,Family,Individual,Medical,Student",1050,10
1211,"Children,Medical,Migrant Workers",60,3
1216,"Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Fundraising,Living Expenses,Medical,Migrant Workers,New Start,Single Parents,Special Needs,Student,Tuition Fees",14436.6,75
1222,Migrant Workers,917.7,2
1223,"Children,Elderly,Family,Individual,Medical,Student",615,12
1224,"Children,COVID-19,Family,Medical,Migrant Workers",500,5
1228,"Individual,Single Parents,Student",30,3
1236,"COVID-19,Migrant Workers,Thematic Campaign",65.4,3
1239,"Children,Individual,Medical,Student",864,4
1245,"Accident,Children,Individual,Medical,Student",375,10
1248,"Children,COVID-19,Family,Fundraising,Homeless,Hongbao for Hope,Individual,Medical,Special Needs,Thematic Campaign",3000,20
1250,"Children,COVID-19,Elderly,Family,Food,Lights for Hope,Migrant Workers,Raya For Hope,Single Parents,Special Needs,Thematic Campaign,Women",1711.2,36
1251,"Children,Elderly,Family,Food,Giving Circle,Individual,Living Expenses,Medical,New Start,Single Parents,Special Needs,Student,Tuition Fees",1950,26
1256,"Accident,Family,Lights for Hope,Student,Thematic Campaign,Tuition Fees",328.8,6
1259,"Children,Elderly,Family,Food,Fundraising,Lights for Hope,Medical,Private Campaign,Thematic Campaign",2899.8,36
1278,"COVID-19,Migrant Workers,Thematic Campaign",330,3
1279,"Children,Elderly,Family,Food,Fundraising,Medical,Special Needs",385,7
1306,"Caregivers,Children,Elderly,Family,Foreign Domestic Workers,Individual,Medical,Mental Health,Migrant Workers,New Start,Single Parents,Special Needs,Student,Thematic Campaign,Tuition Fees,Women,Youths",22514.8,221
1307,"Children,Family,Migrant Workers,Single Parents,Women",1265.75,10
1316,"Children,Individual,Medical,Student",88,4
1317,"Children,Individual,Medical,Student",44,4
1339,"Children,Elderly,Food,Fundraising,Lights for Hope,Medical,Thematic Campaign",154,7
1346,"Children,COVID-19,Medical,Migrant Workers",420,4
1349,"Charities,Migrant Workers",200,2
1354,"COVID-19,Family,Food,Fundraising,Individual,Lights for Hope,Living Expenses,Private Campaign,Raya For Hope,Single Parents,Thematic Campaign",2376,11
1359,"Help Save Singaporeâ€™s Hardest Hit Families,Lights for Hope,Raya For Hope,Single Parents,Thematic Campaign",1649,15
1362,"Children,COVID-19,Medical,Migrant Workers",400,4
1363,"COVID-19,Migrant Workers",2000,2
1367,"Children,COVID-19,Fundraising,Medical,Migrant Workers",353.4,10
1368,"Children,Family,Thematic Campaign",329.4,3
1372,"Children,COVID-19,Elderly,Family,Giving Circle,Individual,Migrant Workers,Single Parents,Special Needs,Student",925.4,50
1373,"Children,Family,Foreign Domestic Workers,Giving Circle,Homeless,Hongbao for Hope,Lights for Hope,Medical,Thematic Campaign",1859.4,9
1388,"Children,COVID-19,Elderly,Family,Food,Medical,Migrant Workers",2800,14
1393,"Children,COVID-19,Family,Fundraising,Medical",2080,10
1394,"COVID-19,Family,Fundraising,Hongbao for Hope,Individual,Lights for Hope,Migrant Workers,Single Parents,Thematic Campaign",626.4,18
1395,"COVID-19,Family,Fundraising,Hope Beyond Borders,Individual,Lights for Hope,Migrant Workers,Single Parents,Thematic Campaign",3429,18
1411,"Elderly,Family,Medical,Single Parents",82.72,4
1416,"Accident,Elderly,Food,Giving Circle,Homeless,Lights for Hope,Medical,Migrant Workers,Private Campaign,Single Parents,Thematic Campaign",1086.8,11
1418,"Children,COVID-19,Family,Food,Homeless,Hongbao for Hope,Hope Beyond Borders,Lights for Hope,Migrant Workers,Private Campaign,Raya For Hope,Registered society,Single Parents,Thematic Campaign",1272.6,84
1421,"Children,COVID-19,Lights for Hope,Medical,Migrant Workers,Private Campaign,Single Parents,Special Needs,Thematic Campaign",1551.6,45
1422,"Children,Elderly,Family,Food,Hongbao for Hope,Lights for Hope,Thematic Campaign",2216.2,14
